time_s,roll_deg,pitch_deg,yaw_deg,ref_pitch_deg,ref_yaw_deg,M1,M2,error_pitch_deg,error_yaw_deg
2.96,-1.229,9.353,0.099,25.0,0.0,2105.31,1782.9,0.446,0.554,15.65,-0.1
3.026,-2.318,10.499,0.099,25.0,0.0,2014.72,1969.55,0.492,0.508,14.5,-0.1
3.092,-2.313,10.538,0.1,25.0,0.0,1684.4,2186.42,0.598,0.402,14.46,-0.1
3.159,-2.134,10.695,0.101,25.0,0.0,1657.37,2164.11,0.586,0.414,14.3,-0.1
3.225,-2.717,11.87,0.671,25.0,0.01,1989.69,1924.29,0.481,0.519,13.13,-0.66
3.292,-2.565,12.771,0.888,25.0,0.02,1996.93,2001.08,0.501,0.499,12.23,-0.87
3.358,-2.008,13.739,0.968,25.0,0.02,2023.78,1951.24,0.488,0.512,11.26,-0.95
3.425,-2.553,14.219,0.999,25.0,0.02,1876.92,2060.17,0.531,0.469,10.78,-0.98
3.492,-3.442,15.077,1.009,25.0,0.02,2021.0,1956.86,0.489,0.511,9.92,-0.99
3.558,-3.257,15.381,1.011,25.0,0.02,1842.88,2076.63,0.539,0.461,9.62,-0.99
3.625,-3.538,15.566,1.011,25.0,0.02,1803.23,2095.63,0.549,0.451,9.43,-0.99
3.692,-2.412,16.058,1.01,25.0,0.02,1931.17,2033.67,0.517,0.483,8.94,-0.99
3.76,-2.44,15.974,1.009,25.0,0.02,1713.57,2137.98,0.572,0.428,9.03,-0.99
3.827,-1.474,16.086,1.007,25.0,0.02,1789.58,2102.13,0.553,0.447,8.91,-0.99
3.894,-1.317,15.99,1.006,25.0,0.02,1709.4,2139.93,0.573,0.427,9.01,-0.99
3.961,-1.056,15.178,1.004,25.0,0.02,1419.44,2271.37,0.645,0.355,9.82,-0.99
4.029,-0.623,15.188,1.003,25.0,0.02,1726.62,2131.87,0.568,0.432,9.81,-0.99
4.097,-1.012,14.883,1.003,25.0,0.02,1600.96,2190.01,0.6,0.4,10.12,-0.99
4.165,-1.648,14.697,1.002,25.0,0.02,1640.52,2171.88,0.59,0.41,10.3,-0.98
4.233,-1.856,13.317,1.001,25.0,0.02,1301.04,2382.81,0.71,0.29,11.68,-0.98
4.3,-2.26,12.889,0.999,25.0,0.02,1500.61,2235.36,0.625,0.375,12.11,-0.98
4.369,-2.647,12.63,0.998,25.0,0.02,1556.09,2210.4,0.611,0.389,12.37,-0.98
4.437,-2.504,13.11,0.997,25.0,0.02,1842.47,2076.82,0.539,0.461,11.89,-0.98
4.505,-1.748,12.507,0.997,25.0,0.02,1499.96,2268.05,0.643,0.357,12.49,-0.98
4.573,-0.508,12.227,0.996,25.0,0.02,1537.74,2218.69,0.616,0.384,12.77,-0.98
4.642,-1.011,12.108,0.995,25.0,0.02,1593.48,2193.42,0.602,0.398,12.89,-0.98
4.71,-1.299,11.989,0.993,25.0,0.02,1590.53,2194.77,0.602,0.398,13.01,-0.98
4.779,-1.335,11.607,0.992,25.0,0.02,1483.84,2242.84,0.629,0.371,13.39,-0.97
4.848,-0.654,11.51,0.993,25.0,0.02,1585.33,2197.13,0.604,0.396,13.49,-0.98
4.916,-0.681,11.953,0.994,25.0,0.02,1795.04,2099.53,0.551,0.449,13.05,-0.98
4.985,-1.866,12.116,0.993,25.0,0.02,1697.0,2145.72,0.576,0.424,12.88,-0.98
5.055,-2.284,12.159,0.993,25.0,0.02,1654.21,2165.56,0.586,0.414,12.84,-0.98
5.124,-2.114,12.598,0.992,25.0,0.02,1810.37,2092.22,0.547,0.453,12.4,-0.97
5.193,-1.087,12.516,0.993,25.0,0.02,1618.94,2181.78,0.595,0.405,12.48,-0.98
